text,label
"User login page with no suspicious activity",0
"Welcome to our forum. Please enjoy your stay.",0
"This site contains stolen credit card numbers and personal data listings.",1
"Download free open-source software releases and changelogs.",0
"Sale of illegal drugs and weapons available in bulk",1
"Contact support for account help and password reset procedures.",0
"Access to hacked databases and malware samples for testing",1
"Normal blog about cooking recipes and meal planning.",0
"Phishing scam template targeting bank customers",1
"Discussion on cryptocurrency basics and wallet setup",0
"Forum for trading illicit goods and services",1
"Official news and updates from a municipal government portal",0
"Tutorials on exploitation concepts framed as academic research",1
"User feedback and reviews on consumer products",0
"Listings of counterfeit passports and forged IDs for sale",1
"Community chat about video games and strategy guides",0
"Hidden marketplace selling counterfeit electronics and fake goods",1
"Information on legal issues and laws with citations",0
"Guide on offensive security concepts presented as crime tips",1
"Travel blog and photography gallery from recent trips",0
"Sale of ransomware packages and remote access trojans",1
"Educational site for learning programming and algorithms",0
"Advertisements for stolen credit cards and CVV dumps",1
"Personal journal and diary entries about daily life",0
"Manuals for bypassing physical security systems",1
"Local event announcements and schedules for community centers",0
"Offers of illegal surveillance services and zero-day access",1
"Product reviews and user testimonials for home appliances",0
"Instructions for identity theft and account takeover",1
"Health and wellness advice articles with references",0
"Discussion on darknet markets, scams, and leaked data",1
"Academic paper on network protocol design",0
"Retail listings for regulated pharmaceuticals sold without prescriptions",1
"Cookbook chapter describing baking techniques",0
"Service offering access to compromised cloud servers",1
"Open source math library documentation and examples",0
"Job postings for graphic designers and remote work",0
"Marketplace offering stolen login credentials and databases",1
"FAQ page for an open-source project",0
"Advisory on safe coding practices and secure defaults",0
"Forum thread advertising illegal hacking services",1
"Benign Q&A about Linux command usage",0
"Post discussing ethics of security research without facilitating attacks",0
"Ad for counterfeit currency and forged financial instruments",1
"Community recipe exchange and nutrition tips",0
"Listing for fake diplomas and forged academic certificates",1
"Blog post analyzing historical events",0
"Sale of unregistered firearms and weapon components",1
"Documentation for an API with examples and rate limits",0
"Service offering DDoS-for-hire with pricing per hour",1
"Local volunteer group announcements",0
"Channel sharing leaked email dumps for resale",1
"Guide to installing a legal CMS on your server",0
"Discussion advertising human smuggling or trafficking services",1
"Interview with a scientist about climate modeling",0
"Ad for malware-as-a-service with control panels",1
"Open dataset release with privacy-preserving notes",0
